Ref_No	Local_Accession_No	Map_Reference	MapArea	MapLong	MapLat	Town_Village	Location	Title	Further_Information	Date_of_Image	Date_Period	Photographer	Artist	Engraver	Publisher	Acknowledged	Form_of_Acknowledgment	Language_single	Format_single	Publishers_single	License_single	Audience_single	Key_Terms	Keywords
NTGM008421	74838	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Victoria Railway Station - steam locomotive (no 76), train and platforms	Nottingham Victoria was one of the main railway stations in Nottingham. It was built 1894-1898 as part of the new Great Central Railway, which ran from London Marylebone through Aylesbury, Rugby, Leicester, Nottingham and Sheffield, linking up to the old Manchester, Sheffield and Lincolnshire Railway. The first coal trains ran between London and Sheffield in 1898, and passenger travel followed in March 1899. The railway had changed its name to The Great Central Railway, and now the network ran from London in the south through the Midlands to the older network in the North between Lincoln, Grimsby, Sheffield, Manchester, Liverpool and Wrexham. In 1923, the GCR was grouped with the GER, GNR, NER, NBR and others to form the London North Eastern Railway, in 1948 British Railways was formed. Nottingham Victoria was towards the North of the city centre, and was built in a huge cavern below street level. Trains ran into the cavern through tunnels to the north (to Sheffield) and south (along the GCR main line to London, and via GNR lines at Weekday Cross Junction towards Grantham and Melton). The GCR line crossed the MR line and the Midland Station, before travelling south and crossing the River Trent at Wilford, next to the old toll bridge. The station building was red sandstone, and a handsome clocktower rose above the facade. Trains ran along the line until the Beeching axe closed it in 1969. Smaller stations closed in 1963, and the track south of Rugby was closed in 1966. Nottingham Victoria followed in 1967. The station was bulldozed and in its place built a shopping centre and underground multi-story carpark. The only part of the station that remains is the clock tower.	c 1900	09_Victorian_(1837-1901)	Morrison, W				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	station victorian engineering railways people canopy steam locomotive train platforms interior clock walkway stairs	Transport_and_Communication Trains_and_Railways Buildings_and_Structures Transport
NTGM008422	2121-1	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Victoria Station, during construction c 1894-8	Showing the excavation of the huge trench cut into the bunter sandstone and construction of the buttress walls in the station cutting, with the Holy Trinity Church, Mechanics Institute and YMCA building in the background. Nottingham Victoria was one of the main railway stations in Nottingham and was a splendid example of Victorian Railway Engineering. It was built 1894-1898 as part of the new Great Central Railway, which ran from London Marylebone through Aylesbury, Rugby, Leicester, Nottingham and Sheffield, linking up to the old Manchester, Sheffield and Lincolnshire Railway. The first coal trains ran between London and Sheffield in 1898, and passenger travel followed in March 1899. The railway had changed its name to The Great Central Railway, and now the network ran from London in the south through the Midlands to the older network in the North between Lincoln, Grimsby, Sheffield, Manchester, Liverpool and Wrexham. In 1923, the GCR was grouped with the GER, GNR, NER, NBR and others to form the London North Eastern Railway, in 1948 British Railways was formed. Nottingham Victoria was towards the North of the city centre, and was built in a huge cavern below street level. Trains ran into the cavern through tunnels to the north (to Sheffield) and south (along the GCR main line to London, and via GNR lines at Weekday Cross Junction towards Grantham and Melton). The GCR line crossed the MR line and the Midland Station, before travelling south and crossing the River Trent at Wilford, next to the old toll bridge. The station building was red sandstone, and a handsome clocktower rose above the facade. Trains ran along the line until the Beeching axe closed it in 1969. Smaller stations closed in 1963, and the track south of Rugby was closed in 1966. Nottingham Victoria followed in 1967. The station was bulldozed and in its place built a shopping centre and underground multi-story carpark. The only part of the station that remains is the clock tower.	c 1894-8	09_Victorian_(1837-1901)	Gordon, T K				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	station victorian engineering railways cutting brick church spire mechanics institute rails tracks brickwork scaffolding	Buildings_and_Structures Tunnels Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008423	2121-2	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road - Woodborough Road - Huntingdon Street	Victoria Station, during construction c 1894-8	Showing the excavation of the huge trench cut into the bunter sandstone and construction of the buttress walls in the station cutting, with tunnel passing under Woodborough Road in the background. Nottingham Victoria was one of the main railway stations in Nottingham and was a splendid example of Victorian Railway Engineering. It was built 1894-1898 as part of the new Great Central Railway, which ran from London Marylebone through Aylesbury, Rugby, Leicester, Nottingham and Sheffield, linking up to the old Manchester, Sheffield and Lincolnshire Railway. The first coal trains ran between London and Sheffield in 1898, and passenger travel followed in March 1899. The railway had changed its name to The Great Central Railway, and now the network ran from London in the south through the Midlands to the older network in the North between Lincoln, Grimsby, Sheffield, Manchester, Liverpool and Wrexham. In 1923, the GCR was grouped with the GER, GNR, NER, NBR and others to form the London North Eastern Railway, in 1948 British Railways was formed. Nottingham Victoria was towards the North of the city centre, and was built in a huge cavern below street level. Trains ran into the cavern through tunnels to the north (to Sheffield) and south (along the GCR main line to London, and via GNR lines at Weekday Cross Junction towards Grantham and Melton). The GCR line crossed the MR line and the Midland Station, before travelling south and crossing the River Trent at Wilford, next to the old toll bridge. The station building was red sandstone, and a handsome clocktower rose above the facade. Trains ran along the line until the Beeching axe closed it in 1969. Smaller stations closed in 1963, and the track south of Rugby was closed in 1966. Nottingham Victoria followed in 1967. The station was bulldozed and in its place built a shopping centre and underground multi-story carpark. The only part of the station that remains is the clock tower.	c 1894-8	09_Victorian_(1837-1901)	Gordon, T K				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	station tunnel victorian engineering railways cutting brick rails tracks tunnel houses	Buildings_and_Structures Tunnels Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008424	2121-3	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road - Milton Street	Victoria Station, during construction c 1894-8	Showing the excavation of the huge trench cut into the bunter sandstone and construction of the footbridge over the station cutting, with Nottingham Brewery in the background. Nottingham Victoria was one of the main railway stations in Nottingham and was a splendid example of Victorian Railway Engineering. It was built 1894-1898 as part of the new Great Central Railway, which ran from London Marylebone through Aylesbury, Rugby, Leicester, Nottingham and Sheffield, linking up to the old Manchester, Sheffield and Lincolnshire Railway. The first coal trains ran between London and Sheffield in 1898, and passenger travel followed in March 1899. The railway had changed its name to The Great Central Railway, and now the network ran from London in the south through the Midlands to the older network in the North between Lincoln, Grimsby, Sheffield, Manchester, Liverpool and Wrexham. In 1923, the GCR was grouped with the GER, GNR, NER, NBR and others to form the London North Eastern Railway, in 1948 British Railways was formed. Nottingham Victoria was towards the North of the city centre, and was built in a huge cavern below street level. Trains ran into the cavern through tunnels to the north (to Sheffield) and south (along the GCR main line to London, and via GNR lines at Weekday Cross Junction towards Grantham and Melton). The GCR line crossed the MR line and the Midland Station, before travelling south and crossing the River Trent at Wilford, next to the old toll bridge. The station building was red sandstone, and a handsome clocktower rose above the facade. Trains ran along the line until the Beeching axe closed it in 1969. Smaller stations closed in 1963, and the track south of Rugby was closed in 1966. Nottingham Victoria followed in 1967. The station was bulldozed and in its place built a shopping centre and underground multi-story carpark. The only part of the station that remains is the clock tower.	c 1894-8	09_Victorian_(1837-1901)	Gordon, T K				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	tunnel victorian engineering railways cutting brick rails tracks brickwork bridge hoist block tackle footbridge brewery station	Buildings_and_Structures Tunnels Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008425	2121-3	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street - Woodborough Road	Victoria Station, during construction c 1894-8	Showing the excavation of the huge trench cut into the bunter sandstone and construction of the footbridge over the station cutting, Looking south from Woodborough Road. Nottingham Victoria was one of the main railway stations in Nottingham and was a splendid example of Victorian Railway Engineering. It was built 1894-1898 as part of the new Great Central Railway, which ran from London Marylebone through Aylesbury, Rugby, Leicester, Nottingham and Sheffield, linking up to the old Manchester, Sheffield and Lincolnshire Railway. The first coal trains ran between London and Sheffield in 1898, and passenger travel followed in March 1899. The railway had changed its name to The Great Central Railway, and now the network ran from London in the south through the Midlands to the older network in the North between Lincoln, Grimsby, Sheffield, Manchester, Liverpool and Wrexham. In 1923, the GCR was grouped with the GER, GNR, NER, NBR and others to form the London North Eastern Railway, in 1948 British Railways was formed. Nottingham Victoria was towards the North of the city centre, and was built in a huge cavern below street level. Trains ran into the cavern through tunnels to the north (to Sheffield) and south (along the GCR main line to London, and via GNR lines at Weekday Cross Junction towards Grantham and Melton). The GCR line crossed the MR line and the Midland Station, before travelling south and crossing the River Trent at Wilford, next to the old toll bridge. The station building was red sandstone, and a handsome clocktower rose above the facade. Trains ran along the line until the Beeching axe closed it in 1969. Smaller stations closed in 1963, and the track south of Rugby was closed in 1966. Nottingham Victoria followed in 1967. The station was bulldozed and in its place built a shopping centre and underground multi-story carpark. The only part of the station that remains is the clock tower.	c 1894-8	09_Victorian_(1837-1901)	Gordon, T K				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	tunnel victorian engineering railways cutting brick rails tracks brickwork bridge footbridge station	Buildings_and_Structures Tunnels Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008426	14026	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street - Glasshouse Street - Huntingdon Street	Victoria Station, during construction c 1894-8	Showing the excavation of the huge trench cut into the bunter sandstone and construction of the buttress walls in the station cutting, looking towards Glasshouse Street-Huntingdon Street area. Nottingham Victoria was one of the main railway stations in Nottingham and was a splendid example of Victorian Railway Engineering. It was built 1894-1898 as part of the new Great Central Railway, which ran from London Marylebone through Aylesbury, Rugby, Leicester, Nottingham and Sheffield, linking up to the old Manchester, Sheffield and Lincolnshire Railway. The first coal trains ran between London and Sheffield in 1898, and passenger travel followed in March 1899. The railway had changed its name to The Great Central Railway, and now the network ran from London in the south through the Midlands to the older network in the North between Lincoln, Grimsby, Sheffield, Manchester, Liverpool and Wrexham. In 1923, the GCR was grouped with the GER, GNR, NER, NBR and others to form the London North Eastern Railway, in 1948 British Railways was formed. Nottingham Victoria was towards the North of the city centre, and was built in a huge cavern below street level. Trains ran into the cavern through tunnels to the north (to Sheffield) and south (along the GCR main line to London, and via GNR lines at Weekday Cross Junction towards Grantham and Melton). The GCR line crossed the MR line and the Midland Station, before travelling south and crossing the River Trent at Wilford, next to the old toll bridge. The station building was red sandstone, and a handsome clocktower rose above the facade. Trains ran along the line until the Beeching axe closed it in 1969. Smaller stations closed in 1963, and the track south of Rugby was closed in 1966. Nottingham Victoria followed in 1967. The station was bulldozed and in its place built a shopping centre and underground multi-story carpark. The only part of the station that remains is the clock tower.	c 1896-7	09_Victorian_(1837-1901)	not known				Yes	G Dennison	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	station tunnel victorian engineering railways cutting brick rails tracks tunnel houses crane digger steam shovel	Buildings_and_Structures Tunnels Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008427	13644	SK5740		52.95435674	-1.153011124	Nottingham	Lower Parliament Street	South entrance to Victoria Railway Station	This closed on the 20th April 1959	1959	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	transport railway station passenger entrance gates doors steps roof notice boards	Natural_World_Landscape_and_Views Streetscene Buildings_and_Structures Transport Transport_and_Communication Trains_and_Railways
NTGM008428	80487	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street - Burton Street	Victoria Railway Station - Main entrance and booking offices	The corner of the Mechanics Institute can be seen on the left (the cinema there is showing Robert Stack and Diana Barrymore in 'Eagle Squadron' which was made in 1942)	late 1940's ?	14_The_1940s	Morrison, W				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	station victorian engineering railways people canopy mechanics institute advertisement hoarding booking office	Transport_and_Communication Trains_and_Railways Buildings_and_Structures Transport
NTGM008429	86532	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Victoria Station, during construction - a steam shovel loading earth into wagons	Showing the excavation of the huge trench cut into the bunter sandstone and construction of the buttress walls in the station cutting, with a steam shovel loading earth into wagons.	1896	09_Victorian_(1837-1901)	not known				Yes	Nottingham Historical Film Unit	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	station tunnel victorian engineering railways cutting rails tracks crane digger steam shovel wagons earth mud men workers machinery	Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition Transport_and_Communication Steam_Powered
NTGM008456	44524	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees. This view shows front balconies and doorways to the flats in the block in the north side. The pinnacled blocks on each side contain the toilets. The centre brickwork contains the rubbish chute.	17 November 1976	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats block chute pinnacles balcony railings	Buildings_and_Structures Housing
NTGM008457	44508	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings -kitchen range	This shows the kitchen range in flat no. 71, known as a right-hand oven range. Featured is the backdraught, sheet metal with the sides bent at right-angles to the front and fitted into the chimney space. Shown here in the forward position, to encourage the revival of a dying fire, or the ignition of a fresh supply of coal put onto the fire or the lighting of a new fire by causing a more rapid flow of air from the base of the grate through the fire. When the fire had reached its desired peak, it was then pushed back to the chimney or removed completely. The damper can be seen clearly but the hole at the base of the oven is still obscured by soot. The range has subsequently been moved to Brewhouse Yard Museum. Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	17 November 1976	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats oven grate range kitchen soot backdraught damper bottles mantle-place	Buildings_and_Structures Housing
NTGM008458	44518	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Showing the rear of the north block of Victoria Buildings. The blocks on each side contain the toilets. The centre brickwork contains the rubbish chute. Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	17 November 1976	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats chute lamp balcony sash windows skip	Buildings_and_Structures Housing
NTGM008459	44516	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Showing the toilet on the roof of the north block. The roof is also used as a clothes-drying area. These toilets are only on the front of each block. Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	17 November 1976	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats toilets sanitation pinnacle turret apex	Buildings_and_Structures Housing
NTGM008460	44514	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings -refuse chute	This shows the refuse chute from the balcony of flat 70. Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	17 November 1976	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats refuse chute balcony railings	Buildings_and_Structures Housing
NTGM008461	44510	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings -clothes-copper	Clothes-copper in flat 87. Subsequently removed to the Brewhouse Yard Museum and re-erected in one of the cottages. Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	17 November 1976	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats clothes copper washing whitewashed laundry	Buildings_and_Structures Housing
NTGM008462	41759-1	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	1975	17_The_1970s	Barley, M W				Yes	M W Barley	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats balcony pinnacles turret trees	Buildings_and_Structures Housing
NTGM008463	41759-2	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	1975	17_The_1970s	Barley, M W				Yes	M W Barley	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats trees sash windows pinnacles decorative brickwork	Buildings_and_Structures Housing
NTGM008464	36675	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Victoria Buildings from Victoria Park. To the left is part of the public wash-house attached to the Victoria Baths. In the background is the new GPO telephone exchange (Bowman Exchange) under construction. Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	25 June 1973	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats trees sash windows pinnacles decorative brickwork rusticated railings scaffolding turrets chimney gateposts pediment	Buildings_and_Structures Housing
NTGM008465	19250	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	December 1962	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats trees sash windows pinnacles decorative brickwork railings turrets chimney gateposts lamp	Buildings_and_Structures Housing
NTGM008466	13168	SK5740		52.95435674	-1.153011124	Nottingham	Bath Street	Victoria Buildings	Victoria Buildings was erected by the Nottingham Corporation in 1876 primarily for the housing of their employees.	January 1959	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing flats trees pinnacles decorative brickwork railings turrets chimney snow winter weather	Buildings_and_Structures Housing
NTGM008470	37018	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Victoria Railway Station	The clock tower of the station now forms part of the Victoria Centre shopping complex.	1901	09_Victorian_(1837-1901)	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	railway train station clock tower clocktower pediment lamp canopy cart horse gable turret	Buildings_and_Structures Transport Transport_and_Communication Trains_and_Railways Buildings_and_Structures Clocks_and_Clock_Towers
NTGM008472	2122-1	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Victoria Railway Station under construction	 	c 1898	09_Victorian_(1837-1901)	Gordon, T K				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	railway train station clock construction clocktower tower lamp canopy cart horse	Buildings_and_Structures Transport Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008473	2122-2	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Victoria Railway Station under construction	Top right is the Mechanics Institute with Holy Trinity Church behind.	c 1898	09_Victorian_(1837-1901)	Gordon, T K				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	railway train station construction rails track line workers tools equipment	Buildings_and_Structures Transport Transport_and_Communication Trains_and_Railways Buildings_and_Structures Construction_Renovation_and_Demolition
NTGM008534	31931	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station	Showing the new bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops as part of the Victoria Centre extension of the 1990's. A smaller bus station was then built for some local bus services and most national services now operate from Broadmarsh Bus Station.	4 June 1972	17_The_1970s	Nottingham Guardian Journal				Yes	Copyright - Nottingham Evening Post	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot double-deckers woman steel girders transport buses coaches	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008535	900228	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station - bus entrance and Skills travel shop	Showing the 'new' bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops as part of the Victoria Centre extension of the 1990's. A smaller bus station on York Street was then built for some local bus services and most national services now operate from Broadmarsh Bus Station.	1996	19_The_1990s	Bradbury, David				Yes	David Bradbury	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot steel girders transport buses coaches people taxis entrance shop travel	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008536	92003	SK5740		52.95435674	-1.153011124	Nottingham	York Street - Victoria Centre	Victoria Centre Bus Station - York Street	Showing the 'new' bus station on York Street. This took over from the larger Victoria Centre Bus Station (which, itself, took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services.) This was closed and refurbished as shops as part of the Victoria Centre extension of the 1990's. The smaller bus station seen here was then built for some local bus services, and most national services now operate from Broadmarsh Bus Station.	September 1996	19_The_1990s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station steel glass transport buses coaches people windows street	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008537	900237	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station - west side looking south	Showing the 'new' bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops, as part of the Victoria Centre extension of the 1990's. A smaller bus station on York Street was then built for some local bus services, and most national services now operate from Broadmarsh Bus Station.	20 March 1996	19_The_1990s	Bradbury, David				Yes	David Bradbury	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot steel girders transport buses coaches people travel passengers queues	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008538	900227	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station - west side looking south from the bus entrance	Showing the 'new' bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops, as part of the Victoria Centre extension of the 1990's. A smaller bus station on York Street was then built for some local bus services, and most national services now operate from Broadmarsh Bus Station.	20 March 1996	19_The_1990s	Bradbury, David				Yes	David Bradbury	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot steel girders transport buses coaches people travel	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008539	900235	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station - west side looking north	Showing the 'new' bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops, as part of the Victoria Centre extension of the 1990's. A smaller bus station on York Street was then built for some local bus services, and most national services now operate from Broadmarsh Bus Station.	20 March 1996	19_The_1990s	Bradbury, David				Yes	David Bradbury	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot steel girders transport buses coaches people travel passengers queues	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008540	900229	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station - east side, showing National Express bus stop	Showing the 'new' bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops, as part of the Victoria Centre extension of the 1990's. A smaller bus station on York Street was then built for some local bus services, and most national services now operate from Broadmarsh Bus Station.	20 March 1996	19_The_1990s	Bradbury, David				Yes	David Bradbury	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot steel girders transport buses coaches people travel passengers queues	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
NTGM008541	900227	SK5740		52.95435674	-1.153011124	Nottingham	Victoria Centre	Victoria Centre Bus Station - east side, showing Skills Coach stop and the National Express bus stop	Showing the 'new' bus station in Victoria Centre (built over the old Victoria Railway Station). This took over as Nottingham's main bus station, which was on Huntingdon Street. Victoria Centre Bus Station served National as well as local bus services. This has now been closed and refurbished as shops, as part of the Victoria Centre extension of the 1990's. A smaller bus station on York Street was then built for some local bus services, and most national services now operate from Broadmarsh Bus Station.	20 March 1996	19_The_1990s	Bradbury, David				Yes	David Bradbury	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station depot steel girders transport buses coaches people travel passengers queues drinks machines	Buildings_and_Structures Transport Transport_and_Communication Buses_and_Trams
